Poco    Amostra     Codigo
  A1 422386149R 422386149R
  B1 422386266R 422386266R
  C1 422386156R 422386156R
  D1  422386625  422386625
  E1  422386851  422386851
  F1  422386866  422386866
  G1  422386883  422386883
  H1  422386268  422386268
  A3  422386273  422386273
  B3  422387254  422387254
  C3  422386806  422386806
  D3  422386980  422386980
  E3  422385450  422385450
  F3  422386322  422386322
  G3  422386324  422386324
  H3  422386282  422386282
  A5  422386293  422386293
  B5  422386816  422386816
  C5  422386798  422386798
  D5  422387130  422387130
  E5  422386593  422386593
  F5  422386852  422386852
  G5  422386928  422386928
  H5  422387004  422387004
  A7  422387159  422387159
  B7  422387129  422387129
  C7  422387065  422387065
  D7  422387062  422387062
  E7  422387059  422387059
  F7  422387047  422387047
  G7  422387071  422387071
  H7  422387075  422387075
  A9  422386742  422386742
  B9  422385147  422385147
  C9          X          X
  D9          X          X
  E9          X          X
  F9          X          X
  G9          X          X
  H9          X          X
 A11          X          X
 B11          X          X
 C11          X          X
 D11          X          X
 E11          X          X
 F11          X          X
 G11         CN         CN
 H11         CP         CP
